smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C#CCON1CO1,16.0,15.0,15.0,14.0
C.C#CC(O)OCN,13.0,12.0,12.0,11.0
C.C#CC1OCNO1,14.0,13.0,13.0,12.0
C.C#CC=O.NCO,13.0,12.0,12.0,11.0
C.C#CC=O.C1NO1,14.0,13.0,13.0,12.0
C.C#CC(=O)OCN,12.0,11.0,11.0,10.0
C.C#CCNCO.O,16.0,15.0,15.0,14.0
C.C#CCNCOO,17.0,16.0,16.0,15.0
C.C#CCN1CO1.O,17.0,16.0,16.0,15.0
C.C#CCN(O)CO,17.0,16.0,16.0,15.0
C.C#CCN1COO1,18.0,17.0,17.0,16.0
C.C#CC1NCO1.O,15.0,14.0,14.0,13.0
C.C#CC1OCN1O,16.0,15.0,15.0,14.0
C.C#CC(O)NCO,15.0,14.0,14.0,13.0
C.C#CC1NCOO1,16.0,15.0,15.0,14.0
C.C#CC(O)N1CO1,16.0,15.0,15.0,14.0
C.C#CC1ON1CO,16.0,15.0,15.0,14.0
C.C#CC1(O)NCO1,14.0,13.0,13.0,12.0
C.C#CC12OCN1O2,15.0,14.0,14.0,13.0
C.C#CC(=O)NCO,14.0,13.0,13.0,12.0
C.C#CC(=O)N1CO1,15.0,14.0,14.0,13.0
C.C#CC=NCO.O,17.0,16.0,16.0,15.0
C.C#CC=NCOO,18.0,17.0,17.0,16.0
C.C#CC1=NCO1.O,16.0,15.0,15.0,14.0
C.C#CC(O)=NCO,16.0,15.0,15.0,14.0
C.C#CC1=NCOO1,17.0,16.0,16.0,15.0
C.C#CC.NC=O.O,16.0,15.0,15.0,14.0
C.C#CC.O=CNO,17.0,16.0,16.0,15.0
C.C#CC.O=CN=O,18.0,17.0,17.0,16.0
C.C#CCO.NC=O,15.0,14.0,14.0,13.0
C.C#CCONC=O,16.0,15.0,15.0,14.0
C.C#CC=O.NC=O,14.0,13.0,13.0,12.0
C.C#CCNC=O.O,17.0,16.0,16.0,15.0
C.C#CCN(O)C=O,18.0,17.0,17.0,16.0
C.C#CC(O)NC=O,16.0,15.0,15.0,14.0
C.C#CC1ON1C=O,17.0,16.0,16.0,15.0
C.C#CC(=O)NC=O,15.0,14.0,14.0,13.0
C.C#CC=NC=O.O,18.0,17.0,17.0,16.0
C.C#CC(O)=NC=O,17.0,16.0,16.0,15.0
C.C#CC.NCO.O,15.0,14.0,14.0,13.0
C.C#CC.NCOO,16.0,15.0,15.0,14.0
C.C#CC.OCNO,16.0,15.0,15.0,14.0
C.C#CC.C1NOO1,17.0,16.0,16.0,15.0
C.C#CC.O=NCO,17.0,16.0,16.0,15.0
C.C#CC.C1NO1.O,16.0,15.0,15.0,14.0
C.C#CC.ON1CO1,17.0,16.0,16.0,15.0
C.C#CCO.NCO,14.0,13.0,13.0,12.0
C.C#CCOOCN,15.0,14.0,14.0,13.0
C.C#CCONCO,15.0,14.0,14.0,13.0
C.C#CCO.C1NO1,15.0,14.0,14.0,13.0
C.C#CCON1CO1,16.0,15.0,15.0,14.0
C.C#CC=O.NCO,15.0,14.0,14.0,13.0
C.C#CC=O.C1NO1,16.0,15.0,15.0,14.0
C.C#CCOCN.O,14.0,13.0,13.0,12.0
C.C#CCOCNO,15.0,14.0,14.0,13.0
C.C#CCOCN=O,16.0,15.0,15.0,14.0
C.C#CC(O)OCN,13.0,12.0,12.0,11.0
C.C#CC1OCNO1,14.0,13.0,13.0,12.0
C.C#CC(=O)OCN,14.0,13.0,13.0,12.0
C.C#CCNCO.O,16.0,15.0,15.0,14.0
C.C#CCNCOO,17.0,16.0,16.0,15.0
C.C#CCN(O)CO,17.0,16.0,16.0,15.0
C.C#CCN1COO1,18.0,17.0,17.0,16.0
C.C#CCN1CO1.O,17.0,16.0,16.0,15.0
C.C#CC(O)NCO,15.0,14.0,14.0,13.0
C.C#CC1NCOO1,16.0,15.0,15.0,14.0
C.C#CC1ON1CO,16.0,15.0,15.0,14.0
C.C#CC(O)N1CO1,16.0,15.0,15.0,14.0
C.C#CC(=O)NCO,16.0,15.0,15.0,14.0
C.C#CC(=O)N1CO1,17.0,16.0,16.0,15.0
C.C#CC1NCO1.O,15.0,14.0,14.0,13.0
C.C#CC1OCN1O,16.0,15.0,15.0,14.0
C.C#CC1(O)NCO1,14.0,13.0,13.0,12.0
C.C#CC12OCN1O2,15.0,14.0,14.0,13.0
C.C#CC=NCO.O,17.0,16.0,16.0,15.0
C.C#CC=NCOO,18.0,17.0,17.0,16.0
C.C#CC(O)=NCO,16.0,15.0,15.0,14.0
C.C#CC1=NCOO1,17.0,16.0,16.0,15.0
C.C#CC1=NCO1.O,16.0,15.0,15.0,14.0
C.C#CC.NC(O)O,16.0,15.0,15.0,14.0
C.C#CC.NC1OO1,17.0,16.0,16.0,15.0
C.C#CC.OC1NO1,17.0,16.0,16.0,15.0
C.C#CC.OC1NO1,17.0,16.0,16.0,15.0
C.C#CC.O1C2ON12,18.0,17.0,17.0,16.0
C.C#CCOC(N)O,15.0,14.0,14.0,13.0
C.C#CCOC1NO1,16.0,15.0,15.0,14.0
C.C#CCOC(N)O,15.0,14.0,14.0,13.0
C.C#CCOC1NO1,16.0,15.0,15.0,14.0
C.C#CC1OC(N)O1,14.0,13.0,13.0,12.0
C.C#CCNC(O)O,17.0,16.0,16.0,15.0
C.C#CCNC1OO1,18.0,17.0,17.0,16.0
C.C#CCN1OC1O,18.0,17.0,17.0,16.0
C.C#CCN1OC1O,18.0,17.0,17.0,16.0
C.C#CC1NC(O)O1,16.0,15.0,15.0,14.0
C.C#CC1OC2ON12,17.0,16.0,16.0,15.0
C.C#CC1NC(O)O1,16.0,15.0,15.0,14.0
C.C#CC1OC2ON12,17.0,16.0,16.0,15.0
C.C#CC12NC(O1)O2,15.0,14.0,14.0,13.0
C.C#CC=NC(O)O,18.0,17.0,17.0,16.0
C.C#CC=NC1OO1,19.0,18.0,18.0,17.0
C.C#CC1=NC(O)O1,17.0,16.0,16.0,15.0
C.C#CC1=NC(O)O1,17.0,16.0,16.0,15.0
C.C#CC.NC(=O)O,17.0,16.0,16.0,15.0
C.C#CC.O=C1NO1,18.0,17.0,17.0,16.0
C.C#CCOC(N)=O,16.0,15.0,15.0,14.0
C.C#CCNC(=O)O,18.0,17.0,17.0,16.0
C.C#CCN1OC1=O,19.0,18.0,18.0,17.0
C.C#CC1NC(=O)O1,17.0,16.0,16.0,15.0
C.C#CC=NC(=O)O,19.0,18.0,18.0,17.0
C.C#CC1=NC(=O)O1,18.0,17.0,17.0,16.0
C.C#CC.NC=O.O,16.0,15.0,15.0,14.0
C.C#CC.O=CNO,17.0,16.0,16.0,15.0
C.C#CC.O=CN=O,18.0,17.0,17.0,16.0
C.C#CCO.NC=O,15.0,14.0,14.0,13.0
C.C#CCONC=O,16.0,15.0,15.0,14.0
C.C#CC=O.NC=O,16.0,15.0,15.0,14.0
C.C#CCNC=O.O,17.0,16.0,16.0,15.0
C.C#CCN(O)C=O,18.0,17.0,17.0,16.0
C.C#CC(O)NC=O,16.0,15.0,15.0,14.0
C.C#CC1ON1C=O,17.0,16.0,16.0,15.0
C.C#CC(=O)NC=O,17.0,16.0,16.0,15.0
C.C#CC=NC=O.O,18.0,17.0,17.0,16.0
C.C#CC(O)=NC=O,17.0,16.0,16.0,15.0
C.C#CC.NC(=O)O,17.0,16.0,16.0,15.0
C.C#CC.O=C1NO1,18.0,17.0,17.0,16.0
C.C#CCOC(N)=O,16.0,15.0,15.0,14.0
C.C#CCNC(=O)O,18.0,17.0,17.0,16.0
C.C#CCN1OC1=O,19.0,18.0,18.0,17.0
C.C#CC1NC(=O)O1,17.0,16.0,16.0,15.0
C.C#CC=NC(=O)O,19.0,18.0,18.0,17.0
C.C#CC1=NC(=O)O1,18.0,17.0,17.0,16.0
C.C#CC.C=N.O.O,15.0,14.0,14.0,13.0
C.C#CC.C=N.OO,16.0,15.0,15.0,14.0
C.C#CC.C=N.O=O,17.0,16.0,16.0,15.0
C.C#CC.C=NO.O,16.0,15.0,15.0,14.0
C.C#CC.C=NOO,17.0,16.0,16.0,15.0
C.C#CC.C=NO.O,16.0,15.0,15.0,14.0
C.C#CC.C=NOO,17.0,16.0,16.0,15.0
C.C#CCO.C=N.O,14.0,13.0,13.0,12.0
C.C#CCOO.C=N,15.0,14.0,14.0,13.0
C.C#CCON=C.O,15.0,14.0,14.0,13.0
C.C#CCO.C=NO,15.0,14.0,14.0,13.0
C.C#CCOON=C,16.0,15.0,15.0,14.0
C.C#CC=O.C=N.O,15.0,14.0,14.0,13.0
C.C#CC=O.C=NO,16.0,15.0,15.0,14.0
C.C#CCO.C=N.O,14.0,13.0,13.0,12.0
C.C#CCOO.C=N,15.0,14.0,14.0,13.0
C.C#CCO.C=NO,15.0,14.0,14.0,13.0
C.C#CCOON=C,16.0,15.0,15.0,14.0
C.C#CCON=C.O,15.0,14.0,14.0,13.0
C.C#CC(O)O.C=N,13.0,12.0,12.0,11.0
C.C#CC1OO1.C=N,14.0,13.0,13.0,12.0
C.C#CC(O)ON=C,14.0,13.0,13.0,12.0
C.C#CC(O)ON=C,14.0,13.0,13.0,12.0
C.C#CC(=O)O.C=N,14.0,13.0,13.0,12.0
C.C#CC(=O)ON=C,15.0,14.0,14.0,13.0
C.C#CC=O.C=N.O,13.0,12.0,12.0,11.0
C.C#CC=O.C=NO,14.0,13.0,13.0,12.0
C.C#CC(=O)O.C=N,12.0,11.0,11.0,10.0
