,smiles,min_dist_all,natoms
0,COON,7.0,4
1,CONO,7.0,4
2,CON=O,8.0,4
3,NOCO,5.0,4
4,C1ONO1,6.0,4
5,NOC=O,4.0,4
6,CNOO,6.0,4
7,CN(O)O,6.0,4
8,Cn1oo1,7.0,4
9,NCOO,6.0,4
10,OCNO,6.0,4
11,C1NOO1,7.0,4
12,ON1CO1,7.0,4
13,O=NCO,7.0,4
14,O=CNO,6.0,4
15,O=CN=O,7.0,4
16,NC(O)O,5.0,4
17,NC1OO1,6.0,4
18,OC1NO1,6.0,4
19,O1C2ON12,7.0,4
20,NC(=O)O,4.0,4
21,O=C1NO1,5.0,4
22,C=NOO,7.0,4
23,N=COO,7.0,4
24,OC=NO,7.0,4
25,c1noo1,8.0,4
26,O=C=NO,7.0,4
27,N=C(O)O,6.0,4
28,N=C1OO1,7.0,4
29,OC1=NO1,7.0,4
30,N#COO,8.0,4
31,COOC,7.0,4
32,CONOC,8.0,5
33,COCO,5.0,4
34,COCON,6.0,5
35,COC=O,4.0,4
36,CNOC,5.0,4
37,CNOOC,6.0,5
38,CON(C)O,6.0,5
39,COCN,5.0,4
40,COCNO,6.0,5
41,COCN=O,7.0,5
42,COOCN,6.0,5
43,CONCO,6.0,5
44,CON1CO1,7.0,5
45,COC(N)O,6.0,5
46,COC1NO1,7.0,5
47,CONC=O,7.0,5
48,COC(N)=O,5.0,5
49,C=NOC,6.0,4
50,C=NOOC,7.0,5
51,COC=N,6.0,4
52,COC=NO,7.0,5
53,COOC=N,7.0,5
54,CON=CO,7.0,5
55,COC(=N)O,7.0,5
56,COC1=NO1,8.0,5
57,CON=C=O,8.0,5
58,COC#N,7.0,4
59,COOC#N,8.0,5
60,C1OCO1,6.0,4
61,CNOCO,4.0,5
62,CN1OCO1,5.0,5
63,NCOCO,4.0,5
64,C1NOCO1,5.0,5
65,NC1OCO1,5.0,5
66,C=NOCO,5.0,5
67,N=COCO,5.0,5
68,C1=NOCO1,6.0,5
69,N=C1OCO1,6.0,5
70,N#COCO,6.0,5
71,CNOC=O,3.0,5
72,NCOC=O,3.0,5
73,C=NOC=O,4.0,5
74,N=COC=O,4.0,5
75,N#COC=O,5.0,5
76,CN(C)O,5.0,4
77,CN(C)OO,8.0,5
78,CNCO,5.0,4
79,CNCOO,6.0,5
80,CN1CO1,6.0,4
81,CN(O)CO,6.0,5
82,CN1COO1,7.0,5
83,CNC=O,4.0,4
84,CN(O)C=O,5.0,5
85,CNC(O)O,4.0,5
86,CNC1OO1,5.0,5
87,CN1OC1O,5.0,5
88,CNC(=O)O,3.0,5
89,CN1OC1=O,4.0,5
90,CN=CO,6.0,4
91,CN=COO,7.0,5
92,CN=C=O,5.0,4
93,CN=C(O)O,5.0,5
94,CN=C1OO1,6.0,5
95,C1NCO1,6.0,4
96,ON1COC1,7.0,5
97,OCNCO,6.0,5
98,C1NCOO1,7.0,5
99,OCN1CO1,7.0,5
100,OC1NCO1,5.0,5
101,C1OC2ON12,6.0,5
102,O=CNCO,5.0,5
103,O=CN1CO1,6.0,5
104,O=C1NCO1,4.0,5
105,C=NCO,6.0,4
106,C=NCOO,7.0,5
107,C1=NCO1,7.0,4
108,OC=NCO,7.0,5
109,C1=NCOO1,8.0,5
110,OC1=NCO1,6.0,5
111,O=C=NCO,6.0,5
112,O=CNC=O,6.0,5
113,C=NC=O,5.0,4
114,O=CN=CO,6.0,5
115,O=C=NC=O,7.0,5
116,N1C2OC1O2,6.0,5
117,C=NC(O)O,5.0,5
118,C=NC1OO1,6.0,5
119,OC1N=CO1,6.0,5
120,N1=C2OC1O2,7.0,5
121,C=NC(=O)O,4.0,5
122,O=C1N=CO1,5.0,5
123,CCOO,5.0,4
124,CCON,6.0,4
125,CCOON,7.0,5
126,CCONO,7.0,5
127,CCON=O,8.0,5
128,CC(O)O,3.0,4
129,CC1OO1,4.0,4
130,CC(O)ON,5.0,5
131,CC1ONO1,6.0,5
132,CC(=O)O,2.0,4
133,CC(=O)ON,4.0,5
134,CCNO,4.0,4
135,CCNOO,7.0,5
136,CCN=O,5.0,4
137,CCN(O)O,7.0,5
138,CCn1oo1,8.0,5
139,CC(N)O,5.0,4
140,CC(N)OO,7.0,5
141,CC1NO1,6.0,4
142,CC(O)NO,7.0,5
143,CC1NOO1,8.0,5
144,CC1ON1O,8.0,5
145,CC(O)N=O,8.0,5
146,CC(N)=O,5.0,4
147,CC(=O)NO,6.0,5
148,CC(=O)N=O,7.0,5
149,CC(N)(O)O,5.0,5
150,CC1(N)OO1,6.0,5
151,CC1(O)NO1,6.0,5
152,CC12ON1O2,7.0,5
153,CC=NO,6.0,4
154,CC=NOO,9.0,5
155,CC(=N)O,6.0,4
156,CC(=N)OO,8.0,5
157,CC1=NO1,7.0,4
158,CC(O)=NO,8.0,5
159,Cc1noo1,9.0,5
160,OCCO,5.0,4
161,C1COO1,6.0,4
162,NOCCO,7.0,5
163,C1CONO1,8.0,5
164,OC1CO1,4.0,4
165,NOC1CO1,6.0,5
166,O=CCO,4.0,4
167,NOCC=O,6.0,5
168,O=C1CO1,3.0,4
169,NCCO,4.0,4
170,NCCOO,6.0,5
171,C1CON1,5.0,4
172,OCCNO,6.0,5
173,C1COON1,7.0,5
174,ON1CCO1,7.0,5
175,O=NCCO,7.0,5
176,NC1CO1,6.0,4
177,ONC1CO1,7.0,5
178,O=NC1CO1,8.0,5
179,NC(O)CO,6.0,5
180,NC1COO1,7.0,5
181,OC1CON1,7.0,5
182,OCC1NO1,7.0,5
183,C1ON2OC12,8.0,5
184,NC1(O)CO1,6.0,5
185,C1OC12NO2,7.0,5
186,NC(=O)CO,6.0,5
187,O=C1CON1,7.0,5
188,N=CCO,6.0,4
189,N=CCOO,7.0,5
190,C1=NOC1,7.0,4
191,OCC=NO,7.0,5
192,C1=NOOC1,8.0,5
193,N=C1CO1,7.0,4
194,ON=C1CO1,8.0,5
195,N=C(O)CO,7.0,5
196,N=C1COO1,8.0,5
197,OC1=NOC1,8.0,5
198,OCC1=NO1,8.0,5
199,N#CCO,7.0,4
200,N#CCOO,8.0,5
201,O=CC=O,5.0,4
202,NCC=O,4.0,4
203,O=CCNO,5.0,5
204,O=CCN=O,6.0,5
205,NC(O)C=O,5.0,5
206,O=CC1NO1,6.0,5
207,NC(=O)C=O,6.0,5
208,N=CC=O,5.0,4
209,O=CC=NO,6.0,5
210,N=C(O)C=O,6.0,5
211,O=CC1=NO1,7.0,5
212,N#CC=O,6.0,4
213,O1C2OC12,5.0,4
214,NCC(O)O,4.0,5
215,NCC1OO1,5.0,5
216,OC1CNO1,5.0,5
217,C1C2ON1O2,6.0,5
218,NC1OC1O,5.0,5
219,N1OC2OC12,6.0,5
220,NC12OC1O2,6.0,5
221,N=CC(O)O,5.0,5
222,N=CC1OO1,6.0,5
223,OC1C=NO1,6.0,5
224,N=C1OC1O,6.0,5
225,N1=C2OC2O1,7.0,5
226,N#CC(O)O,6.0,5
227,N#CC1OO1,7.0,5
228,NCC(=O)O,3.0,5
229,O=C1CNO1,4.0,5
230,NC1OC1=O,4.0,5
231,N=CC(=O)O,4.0,5
232,O=C1C=NO1,5.0,5
233,N=c1oc1=O,5.0,5
234,N#CC(=O)O,5.0,5
235,ON1CC1,3.0,4
236,OON1CC1,6.0,5
237,OC1CN1,3.0,4
238,OOC1CN1,6.0,5
239,C1C2ON12,4.0,4
240,OC1CN1O,6.0,5
241,C1C2OON12,7.0,5
242,O=C1CN1,4.0,4
243,O=C1CN1O,6.0,5
244,OC1(O)CN1,5.0,5
245,C1NC12OO2,6.0,5
246,OC12CN1O2,6.0,5
247,OC1=NC1,4.0,4
248,OOC1=NC1,7.0,5
249,N1C2OC12,7.0,4
250,ON1C2OC21,8.0,5
251,OC1NC1O,7.0,5
252,N1C2OOC12,8.0,5
253,OC1C2ON12,8.0,5
254,OC12NC1O2,6.0,5
255,O1C2N3OC123,7.0,5
256,O=C1NC1O,6.0,5
257,O=C1C2ON12,7.0,5
258,OC1C=N1,7.0,4
259,OOC1C=N1,8.0,5
260,N1=C2OC12,8.0,4
261,OC1=NC1O,8.0,5
262,N1=C2OOC12,9.0,5
263,O=c1[nH]c1=O,7.0,5
264,O=c1cn1,6.0,4
265,O=c1nc1O,7.0,5
266,N1C23OC12O3,7.0,5
267,OC1(O)C=N1,6.0,5
268,C1=NC12OO2,7.0,5
269,OC12N=C1O2,7.0,5
270,C=COO,6.0,4
271,C=CON,6.0,4
272,C=COON,8.0,5
273,C=CONO,8.0,5
274,C=CON=O,9.0,5
275,C=C(O)O,4.0,4
276,C=C1OO1,5.0,4
277,C=C(O)ON,6.0,5
278,C=C1ONO1,7.0,5
279,C=CNO,6.0,4
280,C=CNOO,9.0,5
281,C=CN=O,7.0,4
282,C=CN(O)O,9.0,5
283,C=Cn1oo1,10.0,5
284,C=C(N)O,6.0,4
285,C=C(N)OO,8.0,5
286,C=C1NO1,7.0,4
287,C=C(O)NO,8.0,5
288,C=C1NOO1,9.0,5
289,C=C1ON1O,9.0,5
290,C=C(O)N=O,9.0,5
291,C=C=NO,7.0,4
292,C=C=NOO,10.0,5
293,OC=CO,6.0,4
294,c1coo1,7.0,4
295,NOC=CO,8.0,5
296,C1=CONO1,9.0,5
297,OC1=CO1,5.0,4
298,NOC1=CO1,7.0,5
299,O=C=CO,5.0,4
300,NOC=C=O,7.0,5
301,NC=CO,6.0,4
302,NC=COO,7.0,5
303,c1co[nH]1,7.0,4
304,OC=CNO,7.0,5
305,C1=COON1,8.0,5
306,On1cco1,8.0,5
307,O=NC=CO,8.0,5
308,NC1=CO1,7.0,4
309,ONC1=CO1,8.0,5
310,O=NC1=CO1,9.0,5
311,NC(O)=CO,7.0,5
312,Nc1coo1,8.0,5
313,Oc1co[nH]1,8.0,5
314,OC=C1NO1,8.0,5
315,c1on2c1O2,9.0,5
316,N=C=CO,7.0,4
317,N=C=COO,8.0,5
318,C1=CON=1,8.0,4
319,OC=C=NO,8.0,5
320,C1=COON=1,9.0,5
321,O=C=C=O,6.0,4
322,NC=C=O,5.0,4
323,O=C=CNO,6.0,5
324,O=C=CN=O,7.0,5
325,NC(O)=C=O,6.0,5
326,O=C=C1NO1,7.0,5
327,N=C=C=O,6.0,4
328,O=C=C=NO,7.0,5
329,o1c2oc1=2,6.0,4
330,NC=C(O)O,5.0,5
331,NC=C1OO1,6.0,5
332,Oc1c[nH]o1,6.0,5
333,c1c2on1o2,7.0,5
334,NC1=C(O)O1,6.0,5
335,[nH]1oc2c1O2,7.0,5
336,N=C=C(O)O,6.0,5
337,N=C=C1OO1,7.0,5
338,OC1=C=NO1,7.0,5
339,ON1C=C1,7.0,4
340,OON1C=C1,10.0,5
341,OC1=CN1,7.0,4
342,OOC1=CN1,8.0,5
343,c1c2on1-2,8.0,4
344,OC1=CN1O,8.0,5
345,C1=C2OON12,9.0,5
346,[nH]1c2oc1=2,8.0,4
347,On1c2oc1=2,9.0,5
348,OC1=C(O)N1,8.0,5
349,N1c2ooc21,9.0,5
350,Oc1c2on1-2,9.0,5
351,OC1=C=N1,8.0,4
352,OOC1=C=N1,9.0,5
353,C#COO,7.0,4
354,C#CON,7.0,4
355,C#COON,9.0,5
356,C#CONO,9.0,5
357,C#CON=O,10.0,5
358,C#CNO,7.0,4
359,C#CNOO,10.0,5
360,C#CN=O,8.0,4
361,C#CN(O)O,10.0,5
362,C#Cn1oo1,11.0,5
363,OC#CO,7.0,4
364,c1ooc#1,8.0,4
365,NOC#CO,9.0,5
366,C1#CONO1,10.0,5
367,NC#CO,7.0,4
368,NC#COO,8.0,5
369,c1[nH]oc#1,8.0,4
370,OC#CNO,8.0,5
371,C1#COON1,9.0,5
372,On1c#co1,9.0,5
373,O=NC#CO,9.0,5
374,ON1C#C1,8.0,4
375,OON1C#C1,11.0,5
376,COCOC,6.0,5
377,CON(C)OC,8.0,6
378,COCNOC,8.0,6
379,COC(N)OC,8.0,6
380,COC=NOC,9.0,6
381,COC(=N)OC,9.0,6
382,CNOCOC,6.0,6
383,COCOCN,6.0,6
384,C=NOCOC,7.0,6
385,COCOC=N,7.0,6
386,COCOC#N,8.0,6
387,CON(C)C,7.0,5
388,COON(C)C,8.0,6
389,CNCOC,7.0,5
390,COCN(C)O,8.0,6
391,CNCOOC,8.0,6
392,CON(C)CO,8.0,6
393,CNC(O)OC,6.0,6
394,COC1ON1C,7.0,6
395,CON(C)C=O,7.0,6
396,CNC(=O)OC,5.0,6
397,CN=COC,8.0,5
398,CN=COOC,9.0,6
399,CN=C(O)OC,7.0,6
400,COCNCO,8.0,6
401,COCN1CO1,9.0,6
402,COCNC=O,7.0,6
403,C=NCOC,8.0,5
404,COCN=CO,9.0,6
405,COCN=C=O,8.0,6
406,CON1COC1,9.0,6
407,COC1NCO1,7.0,6
408,C=NCOOC,9.0,6
409,COC=NCO,9.0,6
410,COC1=NCO1,8.0,6
411,C=NC(O)OC,7.0,6
412,COC1N=CO1,8.0,6
413,COC=NC=O,8.0,6
414,C=NC(=O)OC,6.0,6
415,CCOC,5.0,4
416,CCOOC,6.0,5
417,CCONOC,8.0,6
418,COC(C)O,4.0,5
419,COC(C)ON,6.0,6
420,COC(C)=O,3.0,5
421,CCNOC,6.0,5
422,CCNOOC,7.0,6
423,CCN(O)OC,7.0,6
424,COC(C)N,7.0,5
425,COC(C)NO,8.0,6
426,COC(C)N=O,9.0,6
427,COOC(C)N,8.0,6
428,CONC(C)O,8.0,6
429,CON1OC1C,9.0,6
430,COC(C)(N)O,6.0,6
431,COC1(C)NO1,7.0,6
432,CONC(C)=O,7.0,6
433,CC=NOC,8.0,5
434,CC=NOOC,9.0,6
435,COC(C)=N,8.0,5
436,COC(C)=NO,9.0,6
437,COOC(C)=N,9.0,6
438,CON=C(C)O,9.0,6
439,COCCO,6.0,5
440,COCCON,8.0,6
441,COCC=O,5.0,5
442,COCCN,6.0,5
443,COCCNO,7.0,6
444,COCCN=O,8.0,6
445,COCC(N)O,8.0,6
446,COCC1NO1,9.0,6
447,COCC(N)=O,7.0,6
448,COCC=N,8.0,5
449,COCC=NO,9.0,6
450,COCC(=N)O,9.0,6
451,COCC1=NO1,10.0,6
452,COCC#N,9.0,5
453,COC1CO1,5.0,5
454,COOCCN,7.0,6
455,CONCCO,7.0,6
456,CON1CCO1,8.0,6
457,COC(N)CO,8.0,6
458,COC1CON1,9.0,6
459,CONC1CO1,9.0,6
460,COC1(N)CO1,7.0,6
461,COOCC=N,9.0,6
462,CON=CCO,9.0,6
463,COC(=N)CO,9.0,6
464,COC1=NOC1,10.0,6
465,CON=C1CO1,10.0,6
466,COOCC#N,10.0,6
467,COC(O)CN,6.0,6
468,COC1CNO1,7.0,6
469,COC1OC1N,7.0,6
470,COC(O)C=N,7.0,6
471,COC1C=NO1,8.0,6
472,COC1OC1=N,8.0,6
473,COC(O)C#N,8.0,6
474,CONCC=O,7.0,6
475,COC(N)C=O,7.0,6
